item_id,board_id,group_id,name,created_at
mitem_0040,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S16 acquisition,2026-09-05T10:00:00+01:00
mitem_0041,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S17 acquisition,2026-09-07T10:00:00+01:00
mitem_0042,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S18 acquisition,2026-09-09T10:00:00+01:00
mitem_0043,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S19 acquisition,2026-09-11T10:00:00+01:00
mitem_0044,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S20 acquisition,2026-09-13T10:00:00+01:00
mitem_0045,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S21 acquisition,2026-09-15T10:00:00+01:00
mitem_0046,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S22 acquisition,2026-09-17T10:00:00+01:00
mitem_0047,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S23 acquisition,2026-09-19T10:00:00+01:00
mitem_0048,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S24 acquisition,2026-09-21T10:00:00+01:00
mitem_0049,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S25 acquisition,2026-09-23T10:00:00+01:00
mitem_0050,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S26 acquisition,2026-09-25T10:00:00+01:00
mitem_0051,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S27 acquisition,2026-09-27T10:00:00+01:00
mitem_0052,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S28 acquisition,2026-09-01T10:00:00+01:00
mitem_0053,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S29 acquisition,2026-09-03T10:00:00+01:00
mitem_0054,brd_nsw_p2,grp_p2_acquisition,NSW-PHASE2-S30 acquisition,2026-09-05T10:00:00+01:00
mitem_0055,brd_5g_cbd,grp_5g_hearing,NCC spectrum hearing - Mon Oct 5 (presenting),2026-09-15T10:00:00+01:00
mitem_0056,brd_5g_cbd,grp_5g_hearing,NCC filing window - Mon Oct 5,2026-09-15T10:00:00+01:00
mitem_0057,brd_5g_cbd,grp_5g_equipment,FCBD-101 5G NR Massive MIMO radio acceptance,2026-09-15T10:00:00+01:00
mitem_0058,brd_5g_cbd,grp_5g_hearing,FCBD-118 BBU-7600 firmware crash,2026-09-15T10:00:00+01:00
mitem_0059,brd_5g_cbd,grp_5g_hearing,FCBD-124 NCC Form 7B technical exhibits,2026-09-15T10:00:00+01:00
mitem_0060,brd_5g_cbd,grp_5g_equipment,Vendor equipment delivery Oct 19,2026-09-15T10:00:00+01:00
mitem_0061,brd_5g_cbd,grp_5g_equipment,Customs expedite quote TCH-EXP-2026-0017 review,2026-09-15T10:00:00+01:00
