id,createdTime,Line_ID,PO_Number,Project_Label,Item_Description,Item_Category,Quantity,Unit_Price_USD,Line_Total_USD,Line_Total_NGN,Vendor,Country_Of_Origin,Logistics_Status,Logistics_Status_Updated,Carrier,Tracking_Number,Expected_Delivery,Actual_Receipt_Date,Notes
recVND0011,2026-09-01T10:00:00+01:00,VND-2026-Q4-0011,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,3,45,135,202500,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8011,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0012,2026-09-01T10:00:00+01:00,VND-2026-Q4-0012,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Microwave backhaul module,Backhaul,6,410,2460,3690000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8012,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0013,2026-09-01T10:00:00+01:00,VND-2026-Q4-0013,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,3,45,135,202500,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8013,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0014,2026-09-01T10:00:00+01:00,VND-2026-Q4-0014,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,3,240,720,1080000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8014,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0015,2026-09-01T10:00:00+01:00,VND-2026-Q4-0015,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,2,45,90,135000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8015,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0016,2026-09-01T10:00:00+01:00,VND-2026-Q4-0016,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Fronthaul optical transceiver,Optical,3,135,405,607500,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8016,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0017,2026-09-01T10:00:00+01:00,VND-2026-Q4-0017,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,3,45,135,202500,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8017,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0018,2026-09-01T10:00:00+01:00,VND-2026-Q4-0018,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Microwave backhaul module,Backhaul,2,410,820,1230000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8018,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0019,2026-09-01T10:00:00+01:00,VND-2026-Q4-0019,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,RF feeder cable assembly,Cable,3,70,210,315000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8019,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0020,2026-09-01T10:00:00+01:00,VND-2026-Q4-0020,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,6,280,1680,2520000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8020,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0021,2026-09-01T10:00:00+01:00,VND-2026-Q4-0021,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,5,240,1200,1800000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8021,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0022,2026-09-01T10:00:00+01:00,VND-2026-Q4-0022,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,6,280,1680,2520000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8022,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0023,2026-09-01T10:00:00+01:00,VND-2026-Q4-0023,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,RF feeder cable assembly,Cable,6,70,420,630000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8023,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0024,2026-09-01T10:00:00+01:00,VND-2026-Q4-0024,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,2,240,480,720000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8024,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0025,2026-09-01T10:00:00+01:00,VND-2026-Q4-0025,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,3,240,720,1080000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8025,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0026,2026-09-01T10:00:00+01:00,VND-2026-Q4-0026,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,5,280,1400,2100000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8026,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0027,2026-09-01T10:00:00+01:00,VND-2026-Q4-0027,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Edge baseband processor BBU,Baseband,6,1350,8100,12150000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8027,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0028,2026-09-01T10:00:00+01:00,VND-2026-Q4-0028,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Radio unit spare board,Spare,4,315,1260,1890000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8028,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0029,2026-09-01T10:00:00+01:00,VND-2026-Q4-0029,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,RF feeder cable assembly,Cable,4,70,280,420000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8029,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0030,2026-09-01T10:00:00+01:00,VND-2026-Q4-0030,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,6,240,1440,2160000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8030,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0031,2026-09-01T10:00:00+01:00,VND-2026-Q4-0031,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,6,45,270,405000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8031,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0032,2026-09-01T10:00:00+01:00,VND-2026-Q4-0032,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Edge baseband processor BBU,Baseband,3,1350,4050,6075000,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8032,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0033,2026-09-01T10:00:00+01:00,VND-2026-Q4-0033,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Fronthaul optical transceiver,Optical,5,135,675,1012500,Tachyon Networks Nigeria Ltd,China,received at warehouse,2026-09-22,DHL Express,DHL-NG-4421-8033,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0034,2026-09-01T10:00:00+01:00,VND-2026-Q4-0034,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Microwave backhaul module,Backhaul,4,410,1640,2460000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8034,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0035,2026-09-01T10:00:00+01:00,VND-2026-Q4-0035,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,DC power supply module,Power,3,180,540,810000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8035,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0036,2026-09-01T10:00:00+01:00,VND-2026-Q4-0036,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,6,280,1680,2520000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8036,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0037,2026-09-01T10:00:00+01:00,VND-2026-Q4-0037,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Fronthaul optical transceiver,Optical,3,135,405,607500,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8037,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0038,2026-09-01T10:00:00+01:00,VND-2026-Q4-0038,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,3,240,720,1080000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8038,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0039,2026-09-01T10:00:00+01:00,VND-2026-Q4-0039,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,5,240,1200,1800000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8039,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0040,2026-09-01T10:00:00+01:00,VND-2026-Q4-0040,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Fronthaul optical transceiver,Optical,5,135,675,1012500,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8040,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0041,2026-09-01T10:00:00+01:00,VND-2026-Q4-0041,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Fronthaul optical transceiver,Optical,5,135,675,1012500,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8041,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0042,2026-09-01T10:00:00+01:00,VND-2026-Q4-0042,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Radio unit spare board,Spare,3,315,945,1417500,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8042,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0043,2026-09-01T10:00:00+01:00,VND-2026-Q4-0043,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,4,240,960,1440000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8043,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0044,2026-09-01T10:00:00+01:00,VND-2026-Q4-0044,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,3,280,840,1260000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8044,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0045,2026-09-01T10:00:00+01:00,VND-2026-Q4-0045,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,DC power supply module,Power,5,180,900,1350000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8045,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0046,2026-09-01T10:00:00+01:00,VND-2026-Q4-0046,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,5G NR Massive MIMO radio unit,Radio unit,2,1800,3600,5400000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8046,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0047,2026-09-01T10:00:00+01:00,VND-2026-Q4-0047,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,6,45,270,405000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8047,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0048,2026-09-01T10:00:00+01:00,VND-2026-Q4-0048,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,2,280,560,840000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8048,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0049,2026-09-01T10:00:00+01:00,VND-2026-Q4-0049,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,5G NR Massive MIMO radio unit,Radio unit,2,1800,3600,5400000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8049,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0050,2026-09-01T10:00:00+01:00,VND-2026-Q4-0050,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,2,45,90,135000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8050,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0051,2026-09-01T10:00:00+01:00,VND-2026-Q4-0051,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,3,240,720,1080000,Tachyon Networks Nigeria Ltd,China,in transit,2026-09-28,DHL Express,DHL-NG-4421-8051,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0052,2026-09-01T10:00:00+01:00,VND-2026-Q4-0052,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,5,280,1400,2100000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8052,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0053,2026-09-01T10:00:00+01:00,VND-2026-Q4-0053,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,5,45,225,337500,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8053,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0054,2026-09-01T10:00:00+01:00,VND-2026-Q4-0054,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Fronthaul optical transceiver,Optical,3,135,405,607500,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8054,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0055,2026-09-01T10:00:00+01:00,VND-2026-Q4-0055,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Microwave backhaul module,Backhaul,3,410,1230,1845000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8055,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0056,2026-09-01T10:00:00+01:00,VND-2026-Q4-0056,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,4,280,1120,1680000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8056,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0057,2026-09-01T10:00:00+01:00,VND-2026-Q4-0057,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Edge baseband processor BBU,Baseband,6,1350,8100,12150000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8057,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0058,2026-09-01T10:00:00+01:00,VND-2026-Q4-0058,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Microwave backhaul module,Backhaul,4,410,1640,2460000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8058,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0059,2026-09-01T10:00:00+01:00,VND-2026-Q4-0059,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,4,45,180,270000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8059,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0060,2026-09-01T10:00:00+01:00,VND-2026-Q4-0060,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,RF feeder cable assembly,Cable,2,70,140,210000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8060,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0061,2026-09-01T10:00:00+01:00,VND-2026-Q4-0061,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,"5G NR Massive MIMO radio unit, 64TR ed.2",Radio unit,1,4000,4000,6000000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8061,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0062,2026-09-01T10:00:00+01:00,VND-2026-Q4-0062,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Radio unit spare board,Spare,6,315,1890,2835000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8062,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0063,2026-09-01T10:00:00+01:00,VND-2026-Q4-0063,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,DC power supply module,Power,3,180,540,810000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8063,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0064,2026-09-01T10:00:00+01:00,VND-2026-Q4-0064,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,6,240,1440,2160000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8064,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0065,2026-09-01T10:00:00+01:00,VND-2026-Q4-0065,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,RF feeder cable assembly,Cable,3,70,210,315000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8065,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0066,2026-09-01T10:00:00+01:00,VND-2026-Q4-0066,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,6,240,1440,2160000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8066,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0067,2026-09-01T10:00:00+01:00,VND-2026-Q4-0067,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,3,240,720,1080000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8067,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0068,2026-09-01T10:00:00+01:00,VND-2026-Q4-0068,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,2,280,560,840000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8068,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0069,2026-09-01T10:00:00+01:00,VND-2026-Q4-0069,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,5G NR Massive MIMO radio unit,Radio unit,2,1800,3600,5400000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8069,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0070,2026-09-01T10:00:00+01:00,VND-2026-Q4-0070,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,6,45,270,405000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8070,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0071,2026-09-01T10:00:00+01:00,VND-2026-Q4-0071,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,4,45,180,270000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8071,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0072,2026-09-01T10:00:00+01:00,VND-2026-Q4-0072,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Edge baseband processor BBU-7600,Baseband,4,2700,10800,16200000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8072,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0073,2026-09-01T10:00:00+01:00,VND-2026-Q4-0073,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Edge baseband processor BBU,Baseband,3,1350,4050,6075000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8073,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0074,2026-09-01T10:00:00+01:00,VND-2026-Q4-0074,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Radio unit spare board,Spare,4,315,1260,1890000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8074,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0075,2026-09-01T10:00:00+01:00,VND-2026-Q4-0075,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Fronthaul optical transceiver,Optical,2,135,270,405000,Tachyon Networks Nigeria Ltd,China,shipped,2026-09-30,DHL Express,DHL-NG-4421-8075,2026-10-19,,Per TCH-PO-2026-019 / PRJ-ABU-5G
