id,createdTime,Hotspot_ID,P95_Latency_ms,P99_Latency_ms,Peak_Throughput_Mbps,Packet_Loss_pct,Measurement_Date,Recorded_By
rec_q2_extra_2_11,2026-09-27T10:00:00.000Z,HSP-11,91,138,53,0.9,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_12,2026-09-27T10:00:00.000Z,HSP-12,99,149,51,1.0,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_01,2026-09-28T10:00:00.000Z,HSP-01,95,142,52,0.8,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_02,2026-09-28T10:00:00.000Z,HSP-02,110,168,38,1.4,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_03,2026-09-28T10:00:00.000Z,HSP-03,105,159,41,1.1,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_04,2026-09-28T10:00:00.000Z,HSP-04,128,195,44,1.9,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_05,2026-09-28T10:00:00.000Z,HSP-05,159,234,33,2.6,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_06,2026-09-28T10:00:00.000Z,HSP-06,122,187,49,1.7,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_07,2026-09-28T10:00:00.000Z,HSP-07,87,134,56,0.7,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_08,2026-09-28T10:00:00.000Z,HSP-08,118,178,47,1.5,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_09,2026-09-28T10:00:00.000Z,HSP-09,102,156,50,1.0,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_10,2026-09-28T10:00:00.000Z,HSP-10,145,215,36,2.2,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_11,2026-09-28T10:00:00.000Z,HSP-11,91,138,53,0.9,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_3_12,2026-09-28T10:00:00.000Z,HSP-12,99,149,51,1.0,2026-09-25,yetunde.bakare.engineer@gmail.com
