video_id,title,description,publishedAt,channelId,categoryId,tags,duration,dimension,definition,privacyStatus,publishAt,embeddable,viewCount,likeCount,dislikeCount,commentCount,thumbnailUrl,liveBroadcastContent,defaultLanguage,defaultAudioLanguage
v_kid_05,Yoruba folktales storytime,Yoruba folktales storytime - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT15M51S,2d,hd,public,,true,17200,863,0,107,https://img.youtube.example/v_kid_05.jpg,none,en,en
v_kid_06,Football fundamentals for Year 2,Football fundamentals for Year 2 - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT09M44S,2d,hd,public,,true,14100,710,0,88,https://img.youtube.example/v_kid_06.jpg,none,en,en
v_kid_07,Maths multiplication tables Year 5 review,Maths multiplication tables Year 5 review - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT07M28S,2d,hd,public,,true,16800,840,0,105,https://img.youtube.example/v_kid_07.jpg,none,en,en
v_kid_08,Igbo language basics for kids,Igbo language basics for kids - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT11M22S,2d,hd,public,,true,12400,620,0,77,https://img.youtube.example/v_kid_08.jpg,none,en,en
v_kid_09,Hausa numbers one through twenty,Hausa numbers one through twenty - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT05M44S,2d,hd,public,,true,10900,548,0,68,https://img.youtube.example/v_kid_09.jpg,none,en,en
v_kid_10,Year 5 geography map skills,Year 5 geography map skills - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT13M11S,2d,hd,public,,true,11600,582,0,72,https://img.youtube.example/v_kid_10.jpg,none,en,en
v_kid_11,Year 2 phonics blends review,Year 2 phonics blends review - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT08M07S,2d,hd,public,,true,10100,508,0,63,https://img.youtube.example/v_kid_11.jpg,none,en,en
v_kid_12,Year 5 reading reflection walkthrough,Year 5 term two reading reflection - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"reading,reference",PT14M22S,2d,hd,public,,true,14700,738,0,92,https://img.youtube.example/v_kid_12.jpg,none,en,en
v_sci_01,West African ecosystems primer for kids,West African ecosystems primer for kids - sample video.,2025-08-15T10:00:00Z,ch_science_kids,27,"engineering,reference",PT12M44S,2d,hd,public,,true,9300,466,0,58,https://img.youtube.example/v_sci_01.jpg,none,en,en
v_sci_02,How rain forms in tropical climates,How rain forms in tropical climates - sample video.,2025-08-15T10:00:00Z,ch_science_kids,27,"engineering,reference",PT09M22S,2d,hd,public,,true,8600,432,0,54,https://img.youtube.example/v_sci_02.jpg,none,en,en
v_sci_03,Harmattan season explained for kids,Harmattan season explained for kids - sample video.,2025-08-15T10:00:00Z,ch_science_kids,27,"engineering,reference",PT07M44S,2d,hd,public,,true,7900,397,0,49,https://img.youtube.example/v_sci_03.jpg,none,en,en
v_sci_04,Birds of Nigeria primary primer,Birds of Nigeria primary primer - sample video.,2025-08-15T10:00:00Z,ch_science_kids,27,"engineering,reference",PT11M11S,2d,hd,public,,true,7100,358,0,44,https://img.youtube.example/v_sci_04.jpg,none,en,en
v_news_01,Africa telecom weekly digest,Africa telecom weekly digest - sample video.,2025-08-15T10:00:00Z,ch_telco_news,25,"engineering,reference",PT22M11S,2d,hd,public,,true,6800,312,0,39,https://img.youtube.example/v_news_01.jpg,none,en,en
v_news_02,Spectrum allocation reform updates,Spectrum allocation reform updates - sample video.,2025-08-15T10:00:00Z,ch_telco_news,25,"engineering,reference",PT18M44S,2d,hd,public,,true,5900,274,0,34,https://img.youtube.example/v_news_02.jpg,none,en,en
v_news_03,Operator quarterly results round-up,Operator quarterly results round-up - sample video.,2025-08-15T10:00:00Z,ch_telco_news,25,"engineering,reference",PT24M02S,2d,hd,public,,true,6400,295,0,36,https://img.youtube.example/v_news_03.jpg,none,en,en
v_news_04,Rural connectivity pilots across the region,Rural connectivity pilots across the region - sample video.,2025-08-15T10:00:00Z,ch_telco_news,25,"engineering,reference",PT20M11S,2d,hd,public,,true,5500,254,0,31,https://img.youtube.example/v_news_04.jpg,none,en,en
v_news_05,Submarine cable build-out update,Submarine cable build-out update - sample video.,2025-08-15T10:00:00Z,ch_telco_news,25,"engineering,reference",PT16M44S,2d,hd,public,,true,4900,226,0,28,https://img.youtube.example/v_news_05.jpg,none,en,en
v_news_06,Regulator panel highlights,Regulator panel highlights - sample video.,2025-08-15T10:00:00Z,ch_telco_news,25,"engineering,reference",PT19M28S,2d,hd,public,,true,5200,240,0,30,https://img.youtube.example/v_news_06.jpg,none,en,en
v_news_07,Spectrum auction results round-up,Spectrum auction results round-up - sample video.,2025-08-15T10:00:00Z,ch_telco_news,25,"engineering,reference",PT22M55S,2d,hd,public,,true,5700,263,0,32,https://img.youtube.example/v_news_07.jpg,none,en,en
v_news_08,Vendor partnership announcements monthly,Vendor partnership announcements monthly - sample video.,2025-08-15T10:00:00Z,ch_telco_news,25,"engineering,reference",PT17M21S,2d,hd,public,,true,4700,218,0,27,https://img.youtube.example/v_news_08.jpg,none,en,en
v_gard_01,Balcony tomato pots in Abuja heat,Balcony tomato pots in Abuja heat - sample video.,2025-08-15T10:00:00Z,ch_garden_hour,26,"engineering,reference",PT11M44S,2d,hd,public,,true,4400,198,0,24,https://img.youtube.example/v_gard_01.jpg,none,en,en
v_gard_02,Balcony pepper trough tutorial,Balcony pepper trough tutorial - sample video.,2025-08-15T10:00:00Z,ch_garden_hour,26,"engineering,reference",PT09M22S,2d,hd,public,,true,3900,178,0,22,https://img.youtube.example/v_gard_02.jpg,none,en,en
v_gard_03,Mosquito-safe balcony water plants,Mosquito-safe balcony water plants - sample video.,2025-08-15T10:00:00Z,ch_garden_hour,26,"engineering,reference",PT12M11S,2d,hd,public,,true,3600,164,0,20,https://img.youtube.example/v_gard_03.jpg,none,en,en
v_gard_04,Compost in apartment balcony how-to,Compost in apartment balcony how-to - sample video.,2025-08-15T10:00:00Z,ch_garden_hour,26,"engineering,reference",PT14M44S,2d,hd,public,,true,3300,152,0,19,https://img.youtube.example/v_gard_04.jpg,none,en,en
v_gard_05,Balcony herb wall step by step,Balcony herb wall step by step - sample video.,2025-08-15T10:00:00Z,ch_garden_hour,26,"engineering,reference",PT16M22S,2d,hd,public,,true,3100,142,0,17,https://img.youtube.example/v_gard_05.jpg,none,en,en
