courseId,id,text,state,creationTime,updateTime,creatorUserId,alternateLink
course_year_5_maitama,ann_y5_aug_17,Year 5 August notice 17: ongoing term coverage for September prep.,PUBLISHED,2026-08-18T07:00:00Z,2026-08-18T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_17
course_year_5_maitama,ann_y5_aug_18,Year 5 August notice 18: ongoing term coverage for September prep.,PUBLISHED,2026-08-19T07:00:00Z,2026-08-19T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_18
course_year_5_maitama,ann_y5_aug_19,Year 5 August notice 19: ongoing term coverage for September prep.,PUBLISHED,2026-08-20T07:00:00Z,2026-08-20T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_19
course_year_5_maitama,ann_y5_aug_20,Year 5 August notice 20: ongoing term coverage for September prep.,PUBLISHED,2026-08-21T07:00:00Z,2026-08-21T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_20
course_year_5_maitama,ann_y5_aug_21,Year 5 August notice 21: ongoing term coverage for September prep.,PUBLISHED,2026-08-22T07:00:00Z,2026-08-22T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_21
course_year_5_maitama,ann_y5_aug_22,Year 5 August notice 22: ongoing term coverage for September prep.,PUBLISHED,2026-08-23T07:00:00Z,2026-08-23T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_22
course_year_5_maitama,ann_y5_aug_23,Year 5 August notice 23: ongoing term coverage for September prep.,PUBLISHED,2026-08-24T07:00:00Z,2026-08-24T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_23
course_year_5_maitama,ann_y5_aug_24,Year 5 August notice 24: ongoing term coverage for September prep.,PUBLISHED,2026-08-25T07:00:00Z,2026-08-25T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_24
course_year_5_maitama,ann_y5_aug_25,Year 5 August notice 25: ongoing term coverage for September prep.,PUBLISHED,2026-08-26T07:00:00Z,2026-08-26T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_25
course_year_5_maitama,ann_y5_aug_26,Year 5 August notice 26: ongoing term coverage for September prep.,PUBLISHED,2026-08-27T07:00:00Z,2026-08-27T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_26
course_year_5_maitama,ann_y5_aug_27,Year 5 August notice 27: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_27
course_year_5_maitama,ann_y5_aug_28,Year 5 August notice 28: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_28
course_year_5_maitama,ann_y5_aug_29,Year 5 August notice 29: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_29
course_year_5_maitama,ann_y5_aug_30,Year 5 August notice 30: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_30
course_year_5_maitama,ann_y5_aug_31,Year 5 August notice 31: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_31
course_year_5_maitama,ann_y5_aug_32,Year 5 August notice 32: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_32
course_year_5_maitama,ann_y5_aug_33,Year 5 August notice 33: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_33
course_year_5_maitama,ann_y5_aug_34,Year 5 August notice 34: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_34
course_year_5_maitama,ann_y5_aug_35,Year 5 August notice 35: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_35
course_year_5_maitama,ann_y5_aug_36,Year 5 August notice 36: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_36
course_year_5_maitama,ann_y5_aug_37,Year 5 August notice 37: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_37
course_year_5_maitama,ann_y5_aug_38,Year 5 August notice 38: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_38
course_year_5_maitama,ann_y5_aug_39,Year 5 August notice 39: ongoing term coverage for September prep.,PUBLISHED,2026-08-28T07:00:00Z,2026-08-28T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_39
course_year_2_maitama,ann_y2_aug_01,"Year 2 August notice 1: footwear reminder, weekly storytime.",PUBLISHED,2026-08-02T07:30:00Z,2026-08-02T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_01
course_year_2_maitama,ann_y2_aug_02,"Year 2 August notice 2: footwear reminder, weekly storytime.",PUBLISHED,2026-08-03T07:30:00Z,2026-08-03T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_02
course_year_2_maitama,ann_y2_aug_03,"Year 2 August notice 3: footwear reminder, weekly storytime.",PUBLISHED,2026-08-04T07:30:00Z,2026-08-04T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_03
course_year_2_maitama,ann_y2_aug_04,"Year 2 August notice 4: footwear reminder, weekly storytime.",PUBLISHED,2026-08-05T07:30:00Z,2026-08-05T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_04
course_year_2_maitama,ann_y2_aug_05,"Year 2 August notice 5: footwear reminder, weekly storytime.",PUBLISHED,2026-08-06T07:30:00Z,2026-08-06T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_05
course_year_2_maitama,ann_y2_aug_06,"Year 2 August notice 6: footwear reminder, weekly storytime.",PUBLISHED,2026-08-07T07:30:00Z,2026-08-07T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_06
course_year_2_maitama,ann_y2_aug_07,"Year 2 August notice 7: footwear reminder, weekly storytime.",PUBLISHED,2026-08-08T07:30:00Z,2026-08-08T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_07
course_year_2_maitama,ann_y2_aug_08,"Year 2 August notice 8: footwear reminder, weekly storytime.",PUBLISHED,2026-08-09T07:30:00Z,2026-08-09T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_08
course_year_2_maitama,ann_y2_aug_09,"Year 2 August notice 9: footwear reminder, weekly storytime.",PUBLISHED,2026-08-10T07:30:00Z,2026-08-10T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_09
course_year_2_maitama,ann_y2_aug_10,"Year 2 August notice 10: footwear reminder, weekly storytime.",PUBLISHED,2026-08-11T07:30:00Z,2026-08-11T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_10
course_year_2_maitama,ann_y2_aug_11,"Year 2 August notice 11: footwear reminder, weekly storytime.",PUBLISHED,2026-08-12T07:30:00Z,2026-08-12T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_11
course_year_2_maitama,ann_y2_aug_12,"Year 2 August notice 12: footwear reminder, weekly storytime.",PUBLISHED,2026-08-13T07:30:00Z,2026-08-13T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_12
course_year_2_maitama,ann_y2_aug_13,"Year 2 August notice 13: footwear reminder, weekly storytime.",PUBLISHED,2026-08-14T07:30:00Z,2026-08-14T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_13
course_year_2_maitama,ann_y2_aug_14,"Year 2 August notice 14: footwear reminder, weekly storytime.",PUBLISHED,2026-08-15T07:30:00Z,2026-08-15T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_14
course_year_2_maitama,ann_y2_aug_15,"Year 2 August notice 15: footwear reminder, weekly storytime.",PUBLISHED,2026-08-16T07:30:00Z,2026-08-16T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_15
course_year_2_maitama,ann_y2_aug_16,"Year 2 August notice 16: footwear reminder, weekly storytime.",PUBLISHED,2026-08-17T07:30:00Z,2026-08-17T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_16
course_year_2_maitama,ann_y2_aug_17,"Year 2 August notice 17: footwear reminder, weekly storytime.",PUBLISHED,2026-08-18T07:30:00Z,2026-08-18T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_17
course_year_2_maitama,ann_y2_aug_18,"Year 2 August notice 18: footwear reminder, weekly storytime.",PUBLISHED,2026-08-19T07:30:00Z,2026-08-19T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_18
course_year_2_maitama,ann_y2_aug_19,"Year 2 August notice 19: footwear reminder, weekly storytime.",PUBLISHED,2026-08-20T07:30:00Z,2026-08-20T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_19
course_year_2_maitama,ann_y2_aug_20,"Year 2 August notice 20: footwear reminder, weekly storytime.",PUBLISHED,2026-08-21T07:30:00Z,2026-08-21T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_20
course_year_2_maitama,ann_y2_aug_21,"Year 2 August notice 21: footwear reminder, weekly storytime.",PUBLISHED,2026-08-22T07:30:00Z,2026-08-22T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_21
course_year_2_maitama,ann_y2_aug_22,"Year 2 August notice 22: footwear reminder, weekly storytime.",PUBLISHED,2026-08-23T07:30:00Z,2026-08-23T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_22
course_year_2_maitama,ann_y2_aug_23,"Year 2 August notice 23: footwear reminder, weekly storytime.",PUBLISHED,2026-08-24T07:30:00Z,2026-08-24T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_23
course_year_2_maitama,ann_y2_aug_24,"Year 2 August notice 24: footwear reminder, weekly storytime.",PUBLISHED,2026-08-25T07:30:00Z,2026-08-25T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_24
course_year_2_maitama,ann_y2_aug_25,"Year 2 August notice 25: footwear reminder, weekly storytime.",PUBLISHED,2026-08-26T07:30:00Z,2026-08-26T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_25
course_year_2_maitama,ann_y2_aug_26,"Year 2 August notice 26: footwear reminder, weekly storytime.",PUBLISHED,2026-08-27T07:30:00Z,2026-08-27T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_26
course_year_2_maitama,ann_y2_aug_27,"Year 2 August notice 27: footwear reminder, weekly storytime.",PUBLISHED,2026-08-28T07:30:00Z,2026-08-28T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_27
course_year_2_maitama,ann_y2_aug_28,"Year 2 August notice 28: footwear reminder, weekly storytime.",PUBLISHED,2026-08-28T07:30:00Z,2026-08-28T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_28
course_year_2_maitama,ann_y2_aug_29,"Year 2 August notice 29: footwear reminder, weekly storytime.",PUBLISHED,2026-08-28T07:30:00Z,2026-08-28T07:30:00Z,user_mrs_olaitan_year2,https://classroom.google.com/u/0/c/course_year_2_maitama/ann/ann_y2_aug_29
