courseId,id,title,description,state,maxPoints,workType,topicId,creationTime,updateTime,dueDate_year,dueDate_month,dueDate_day,dueTime_hours,dueTime_minutes,alternateLink
course_year_5_maitama,cw_y5_aug_07,Year 5 August assignment 7,Year 5 August assignment 7 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-08T07:00:00Z,2026-08-08T07:00:00Z,2026,8,12,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_07
course_year_5_maitama,cw_y5_aug_08,Year 5 August assignment 8,Year 5 August assignment 8 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-09T07:00:00Z,2026-08-09T07:00:00Z,2026,8,13,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_08
course_year_5_maitama,cw_y5_aug_09,Year 5 August assignment 9,Year 5 August assignment 9 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-10T07:00:00Z,2026-08-10T07:00:00Z,2026,8,14,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_09
course_year_5_maitama,cw_y5_aug_10,Year 5 August assignment 10,Year 5 August assignment 10 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-11T07:00:00Z,2026-08-11T07:00:00Z,2026,8,15,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_10
course_year_5_maitama,cw_y5_aug_11,Year 5 August assignment 11,Year 5 August assignment 11 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-12T07:00:00Z,2026-08-12T07:00:00Z,2026,8,16,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_11
course_year_5_maitama,cw_y5_aug_12,Year 5 August assignment 12,Year 5 August assignment 12 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-13T07:00:00Z,2026-08-13T07:00:00Z,2026,8,17,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_12
course_year_5_maitama,cw_y5_aug_13,Year 5 August assignment 13,Year 5 August assignment 13 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-14T07:00:00Z,2026-08-14T07:00:00Z,2026,8,18,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_13
course_year_5_maitama,cw_y5_aug_14,Year 5 August assignment 14,Year 5 August assignment 14 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-15T07:00:00Z,2026-08-15T07:00:00Z,2026,8,19,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_14
course_year_5_maitama,cw_y5_aug_15,Year 5 August assignment 15,Year 5 August assignment 15 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-16T07:00:00Z,2026-08-16T07:00:00Z,2026,8,20,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_15
course_year_5_maitama,cw_y5_aug_16,Year 5 August assignment 16,Year 5 August assignment 16 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-17T07:00:00Z,2026-08-17T07:00:00Z,2026,8,21,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_16
course_year_5_maitama,cw_y5_aug_17,Year 5 August assignment 17,Year 5 August assignment 17 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-18T07:00:00Z,2026-08-18T07:00:00Z,2026,8,22,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_17
course_year_5_maitama,cw_y5_aug_18,Year 5 August assignment 18,Year 5 August assignment 18 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-19T07:00:00Z,2026-08-19T07:00:00Z,2026,8,23,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_18
course_year_5_maitama,cw_y5_aug_19,Year 5 August assignment 19,Year 5 August assignment 19 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-20T07:00:00Z,2026-08-20T07:00:00Z,2026,8,24,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_19
course_year_5_maitama,cw_y5_aug_20,Year 5 August assignment 20,Year 5 August assignment 20 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-21T07:00:00Z,2026-08-21T07:00:00Z,2026,8,25,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_20
course_year_5_maitama,cw_y5_aug_21,Year 5 August assignment 21,Year 5 August assignment 21 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-22T07:00:00Z,2026-08-22T07:00:00Z,2026,8,26,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_21
course_year_5_maitama,cw_y5_aug_22,Year 5 August assignment 22,Year 5 August assignment 22 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-23T07:00:00Z,2026-08-23T07:00:00Z,2026,8,27,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_22
course_year_5_maitama,cw_y5_aug_23,Year 5 August assignment 23,Year 5 August assignment 23 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-24T07:00:00Z,2026-08-24T07:00:00Z,2026,8,28,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_23
course_year_5_maitama,cw_y5_aug_24,Year 5 August assignment 24,Year 5 August assignment 24 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-25T07:00:00Z,2026-08-25T07:00:00Z,2026,8,28,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_24
course_year_5_maitama,cw_y5_aug_25,Year 5 August assignment 25,Year 5 August assignment 25 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-26T07:00:00Z,2026-08-26T07:00:00Z,2026,8,28,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_25
