playlist_id,track_id,position,added_at
pl_gym_three_times,trk_burna_anybody,2,2026-02-03T05:46:00Z
pl_gym_three_times,trk_burna_ye,3,2026-02-03T05:47:00Z
pl_gym_three_times,trk_wizkid_no_stress,4,2026-02-03T05:48:00Z
pl_gym_three_times,trk_davido_feel,5,2026-02-03T05:49:00Z
pl_gym_three_times,trk_davido_overdose,6,2026-02-03T05:50:00Z
pl_gym_three_times,trk_asake_terminator,7,2026-02-03T05:51:00Z
pl_gym_three_times,trk_asake_organize,8,2026-02-03T05:52:00Z
pl_gym_three_times,trk_asake_peace_mind,9,2026-02-03T05:53:00Z
pl_gym_three_times,trk_rema_ozeba,10,2026-02-03T05:54:00Z
pl_gym_three_times,trk_rema_hehehe,11,2026-02-03T05:55:00Z
pl_gym_three_times,trk_burna_sittin_top,12,2026-02-03T05:56:00Z
pl_late_night_review,trk_sade_lovers_rock,1,2026-03-15T22:00:00Z
pl_late_night_review,trk_sade_no_ordinary_love,2,2026-03-15T22:01:00Z
pl_late_night_review,trk_corinne_self,3,2026-03-15T22:02:00Z
pl_late_night_review,trk_jhene_lightning,4,2026-03-15T22:03:00Z
pl_late_night_review,trk_lauryn_ex_factor,5,2026-03-15T22:04:00Z
pl_late_night_review,trk_lauryn_killing_softly,6,2026-03-15T22:05:00Z
pl_late_night_review,trk_brandy_right_here,7,2026-03-15T22:06:00Z
pl_dinner_party_quiet,trk_sade_smooth_operator,1,2025-11-23T19:00:00Z
pl_dinner_party_quiet,trk_sade_by_your_side,2,2025-11-23T19:01:00Z
pl_dinner_party_quiet,trk_daniel_get_you,3,2025-11-23T19:02:00Z
pl_dinner_party_quiet,trk_daniel_we_find_love,4,2025-11-23T19:03:00Z
pl_dinner_party_quiet,trk_lauryn_doo_wop,5,2025-11-23T19:04:00Z
pl_dinner_party_quiet,trk_corinne_like_star,6,2025-11-23T19:05:00Z
pl_dinner_party_quiet,trk_brandy_long_distance,7,2025-11-23T19:06:00Z
pl_christmas_2025,trk_sinach_way_maker,1,2025-12-22T18:00:00Z
pl_christmas_2025,trk_mercy_satisfied,2,2025-12-22T18:01:00Z
pl_christmas_2025,trk_chandler_jireh,3,2025-12-22T18:02:00Z
pl_christmas_2025,trk_fkc_god_only_knows,4,2025-12-22T18:03:00Z
pl_christmas_2025,trk_burna_for_my_hand,5,2025-12-22T18:04:00Z
pl_christmas_2025,trk_simi_duduke,6,2025-12-22T18:05:00Z
pl_bookshelf_audiobk,trk_sade_lovers_rock,1,2026-06-08T15:00:00Z
pl_bookshelf_audiobk,trk_sade_king_of_sorrow,2,2026-06-08T15:01:00Z
pl_bookshelf_audiobk,trk_corinne_put_records,3,2026-06-08T15:02:00Z
pl_bookshelf_audiobk,trk_johnny_drille_believe,4,2026-06-08T15:03:00Z
pl_bookshelf_audiobk,trk_chimamanda_americanah,5,2026-06-08T15:04:00Z
